file,date1,date2
Organize.csv,2025-06-07,2025-06-08
Organize.csv,2025-06-07,2025-06-10
Organize.csv,2025-06-07,2025-06-11
Organize.csv,2025-06-07,2025-06-12
Organize.csv,2025-06-07,2025-06-13
Organize.csv,2025-06-07,2025-06-14
Organize.csv,2025-06-07,2025-06-15
Organize.csv,2025-06-07,2025-06-16
Organize.csv,2025-06-08,2025-06-10
Organize.csv,2025-06-08,2025-06-11
Organize.csv,2025-06-08,2025-06-12
Organize.csv,2025-06-08,2025-06-13
Organize.csv,2025-06-08,2025-06-14
Organize.csv,2025-06-08,2025-06-15
Organize.csv,2025-06-08,2025-06-16
Organize.csv,2025-06-10,2025-06-11
Organize.csv,2025-06-10,2025-06-12
Organize.csv,2025-06-10,2025-06-13
Organize.csv,2025-06-10,2025-06-14
Organize.csv,2025-06-10,2025-06-15
Organize.csv,2025-06-10,2025-06-16
Organize.csv,2025-06-11,2025-06-12
Organize.csv,2025-06-11,2025-06-13
Organize.csv,2025-06-11,2025-06-14
Organize.csv,2025-06-11,2025-06-15
Organize.csv,2025-06-11,2025-06-16
Organize.csv,2025-06-12,2025-06-13
Organize.csv,2025-06-12,2025-06-14
Organize.csv,2025-06-12,2025-06-15
Organize.csv,2025-06-12,2025-06-16
Organize.csv,2025-06-13,2025-06-14
Organize.csv,2025-06-13,2025-06-15
Organize.csv,2025-06-13,2025-06-16
Organize.csv,2025-06-14,2025-06-15
Organize.csv,2025-06-14,2025-06-16
Organize.csv,2025-06-15,2025-06-16
Apple-Suport-History-2025-Jun.json,2025-06-09,2025-06-11
Apple-Suport-History-2025-Jun.json,2025-06-09,2025-06-13
Apple-Suport-History-2025-Jun.json,2025-06-09,2025-06-15
Apple-Suport-History-2025-Jun.json,2025-06-09,2025-06-18
Apple-Suport-History-2025-Jun.json,2025-06-09,2025-06-20
Apple-Suport-History-2025-Jun.json,2025-06-11,2025-06-13
Apple-Suport-History-2025-Jun.json,2025-06-11,2025-06-15
Apple-Suport-History-2025-Jun.json,2025-06-11,2025-06-18
Apple-Suport-History-2025-Jun.json,2025-06-11,2025-06-20
Apple-Suport-History-2025-Jun.json,2025-06-13,2025-06-15
Apple-Suport-History-2025-Jun.json,2025-06-13,2025-06-18
Apple-Suport-History-2025-Jun.json,2025-06-13,2025-06-20
Apple-Suport-History-2025-Jun.json,2025-06-15,2025-06-18
Apple-Suport-History-2025-Jun.json,2025-06-15,2025-06-20
Apple-Suport-History-2025-Jun.json,2025-06-18,2025-06-20
Template-1.txt,2025-06-09,2025-06-14
Template-1.txt,2025-06-09,2025-06-22
Template-1.txt,2025-06-09,2025-06-23
Template-1.txt,2025-06-09,2025-07-12
Template-1.txt,2025-06-14,2025-06-22
Template-1.txt,2025-06-14,2025-06-23
Template-1.txt,2025-06-14,2025-07-12
Template-1.txt,2025-06-22,2025-06-23
Template-1.txt,2025-06-22,2025-07-12
Template-1.txt,2025-06-23,2025-07-12
